City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
451,xining,36.6167,101.7667,-9.8,19,4,0.88,CN,1674529184
452,maniitsoq,65.4167,-52.9,-4.79,94,100,7.97,GL,1674529184
453,walvis bay,-22.9575,14.5053,18.03,84,99,5.65,NA,1674529185
454,caravelas,-17.7125,-39.2481,25.81,84,100,4.81,BR,1674529185
455,claremore,36.3126,-95.6161,5.31,77,0,0.45,US,1674529186
456,vinh,18.6667,105.6667,13.88,71,100,6.85,VN,1674529246
457,nuuk,64.1835,-51.7216,-1.18,58,100,7.6,GL,1674529023
458,dig,27.4667,77.3333,15.34,91,34,3.54,IN,1674529247
459,partur,19.6,76.2167,21.28,52,69,2.56,IN,1674529248
460,bumba,2.1833,22.4667,22.58,58,100,1.46,CD,1674529249
461,estelle,29.8458,-90.1067,11.11,82,1,2.66,US,1674529249
462,yatou,37.15,122.3833,-8.8,76,99,11.1,CN,1674529250
463,chokurdakh,70.6333,147.9167,-36.27,100,97,2.09,RU,1674529250
464,pontal do parana,-25.6533,-48.5128,22.38,94,72,1.77,BR,1674529251
465,dryden,49.7833,-92.7503,-9.84,85,100,1.54,CA,1674529251
466,sao felix do xingu,-6.6447,-51.995,21.78,98,95,0.41,BR,1674529252
467,minatitlan,17.9833,-94.5167,21.73,92,0,3.37,MX,1674529252
468,zhigansk,66.7697,123.3711,-42.59,97,100,3.1,RU,1674529253
469,hami,42.8,93.45,-11.98,34,0,0.29,CN,1674529253
470,kibre mengist,5.8833,38.9833,10.46,67,19,1.31,ET,1674529254
471,kaitangata,-46.2817,169.8464,14.82,57,51,3.73,NZ,1674529254
472,saint-pierre,-21.3393,55.4781,23.28,88,75,2.06,RE,1674529254
473,dunedin,-45.8742,170.5036,15.45,60,78,1.34,NZ,1674529255
474,pitimbu,-7.4706,-34.8086,26.18,76,6,4.48,BR,1674529255
475,esna,25.2934,32.554,13.84,38,0,3.12,EG,1674529256
476,luanda,-8.8368,13.2343,25.51,80,100,0.94,AO,1674529205
477,okhotsk,59.3833,143.3,-27.15,76,92,6.23,RU,1674529257
478,murdochville,48.9583,-65.5006,-8.56,95,100,3.6,CA,1674529257
479,korla,41.7597,86.1469,-14.38,83,46,2.25,CN,1674529257
480,shingu,33.7333,135.9833,8.46,65,30,7.3,JP,1674529258
481,margate,51.3813,1.3862,5.5,82,100,1.79,GB,1674529258
482,bathsheba,13.2167,-59.5167,24.6,80,17,7.54,BB,1674529259
483,hwange,-18.3693,26.5019,19.48,96,100,2.21,ZW,1674529259
484,payyannur,12.1,75.2,25.02,74,65,2.49,IN,1674529260
485,ati,13.2154,18.3353,22.06,14,100,4.55,TD,1674529260
486,altoona,40.5187,-78.3947,0.92,83,97,3.13,US,1674529149
487,ouesso,1.6136,16.0517,20.95,69,100,1.55,CG,1674529261
488,baculin,7.4525,126.5842,27.13,84,99,2.45,PH,1674529261
489,kiboga,0.9161,31.7742,16.89,74,100,0.78,UG,1674529261
490,chyhyryn,49.0838,32.6555,-1.18,83,96,3.51,UA,1674529036
491,bratsk,56.1325,101.6142,-23.7,95,100,2.52,RU,1674529262
492,balta,47.9355,29.6198,0.3,81,100,3.86,UA,1674529263
493,hobyo,5.3505,48.5268,24.2,77,51,9.0,SO,1674529263
494,meulaboh,4.1363,96.1285,24.66,89,94,2.77,ID,1674529264
495,san carlos de bariloche,-41.1456,-71.3082,16.25,75,56,6.71,AR,1674529264
496,ondangwa,-17.9167,15.95,20.84,76,100,4.17,NA,1674529264
497,hirado,33.3597,129.5531,-0.34,76,100,18.22,JP,1674529265
498,gayeri,12.6497,0.4931,24.44,18,32,3.08,BF,1674529265
499,ishinomaki,38.4167,141.3,4.4,75,100,0.7,JP,1674529266
500,eirunepe,-6.6603,-69.8736,22.34,99,100,1.11,BR,1674529266
501,atbasar,51.8,68.3333,-20.52,100,93,2.02,KZ,1674529267
502,marzuq,14.4,46.4667,14.04,71,8,1.14,YE,1674529267
503,tuatapere,-46.1333,167.6833,17.73,47,7,3.89,NZ,1674529328
504,anderson,34.5334,-82.6499,3.35,79,0,0.53,US,1674529155
505,xam nua,20.4197,104.0439,9.78,97,100,1.79,LA,1674529328
506,wielun,51.221,18.5696,-0.18,96,76,2.89,PL,1674529329
507,ambon,-3.6954,128.1814,32.08,62,40,2.57,ID,1674529329
508,nenjiang,49.1833,125.2167,-25.92,80,22,1.55,CN,1674529330
509,svetlaya,46.5389,138.3297,-22.25,73,100,5.56,RU,1674529330
510,portland,45.5234,-122.6762,8.45,80,63,0.45,US,1674528995
511,alyangula,-13.8483,136.4192,28.78,77,100,5.4,AU,1674529331
512,guarapuava,-25.3953,-51.4581,17.53,79,92,1.27,BR,1674529331
513,fundacion,10.5207,-74.185,24.98,81,98,1.01,CO,1674529332
514,sibu,2.3,111.8167,25.02,94,100,1.78,MY,1674529332
515,luwuk,-0.9516,122.7875,29.41,73,98,0.53,ID,1674529333
516,mattru,7.6244,-11.8332,21.83,97,62,1.11,SL,1674529333
517,yamada,39.4667,141.95,2.82,89,100,3.13,JP,1674529333
518,mims,28.6653,-80.8448,15.54,65,0,3.09,US,1674529334
519,inverness,57.4791,-4.224,10.95,93,20,7.2,GB,1674529334
520,kidodi,-7.6036,37.0044,21.46,97,100,1.28,TZ,1674529335
521,chuy,-33.6971,-53.4616,17.32,73,0,1.03,UY,1674529335
522,kentau,43.5206,68.5094,-9.51,84,99,1.91,KZ,1674529336
523,aksarayskiy,46.7924,48.0119,-3.74,47,14,3.92,RU,1674529336
524,bereda,43.2686,-7.5406,5.23,100,72,3.42,ES,1674529337
525,thinadhoo,0.5333,72.9333,27.06,75,99,5.44,MV,1674529337
526,yichun,47.7,128.9,-27.79,83,100,4.1,CN,1674529338
527,rio gallegos,-51.6226,-69.2181,12.25,43,88,5.31,AR,1674529338
528,bagua grande,-5.7561,-78.4411,24.36,73,55,1.28,PE,1674529338
529,bida,9.0833,6.0167,24.26,21,10,1.65,NG,1674529313
530,te anau,-45.4167,167.7167,20.17,39,6,1.14,NZ,1674529339
531,sabzevar,36.2126,57.6819,-3.34,68,0,1.53,IR,1674529340
532,listvyanka,51.8535,104.8693,-24.97,91,100,5.66,RU,1674529340
533,quatre cocos,-20.2078,57.7625,23.38,80,100,2.01,MU,1674529340
534,kahna nau,31.3692,74.3653,8.02,87,40,3.09,PK,1674529341
535,saint-francois,46.4154,3.9054,1.69,80,100,3.09,FR,1674529342
536,paragominas,-2.9667,-47.4833,21.99,99,100,1.07,BR,1674529316
537,makakilo city,21.3469,-158.0858,26.1,74,54,1.95,US,1674529342
538,balakliya,49.4627,36.8595,-3.01,72,3,4.26,UA,1674529343
539,beringovskiy,63.05,179.3167,-23.11,97,100,6.2,RU,1674529343
540,la paz,-16.5,-68.15,7.36,77,96,3.05,BO,1674529344
541,cap malheureux,-19.9842,57.6142,23.59,82,100,0.78,MU,1674529344
542,linares,-35.85,-71.6,15.67,74,0,1.01,CL,1674529344
543,kifri,34.6959,44.9661,8.63,45,0,4.54,IQ,1674529345
544,kuliyapitiya,7.4688,80.0401,24.82,76,83,2.06,LK,1674529345
545,mandalgovi,45.7625,106.2708,-21.99,61,40,4.69,MN,1674529174
546,nanakuli,21.3906,-158.1547,26.9,72,36,2.29,US,1674529346
547,ulaangom,49.9811,92.0667,-25.42,88,100,0.6,MN,1674529346
548,murray bridge,-35.1167,139.2667,22.85,49,0,5.74,AU,1674529347
549,hasaki,35.7333,140.8333,8.45,71,100,6.36,JP,1674529347
550,iralaya,15.0,-83.2333,24.42,87,5,5.64,HN,1674529408
551,abu samrah,35.3029,37.1841,8.33,79,0,1.46,SY,1674529408
552,manado,1.487,124.8455,27.43,89,40,2.57,ID,1674529409
553,balkanabat,39.5108,54.3671,-1.04,46,0,1.43,TM,1674529409
554,innisfail,-17.5333,146.0333,28.48,76,89,3.14,AU,1674529171
555,tabas,33.5959,56.9244,2.12,43,0,2.51,IR,1674529410
556,malaya serdoba,52.4661,44.9512,-12.35,83,83,1.68,RU,1674529410
557,port hawkesbury,45.6169,-61.3485,7.88,100,100,4.02,CA,1674529411
558,kalemie,-5.9475,29.1947,20.49,84,100,1.11,CD,1674529411
559,ostrovnoy,68.0531,39.5131,-4.01,90,100,12.21,RU,1674529411
560,mosjoen,65.836,13.1908,3.29,80,100,1.54,NO,1674529393
561,zanjan,36.6736,48.4787,-7.32,80,39,2.04,IR,1674529412
562,guerrero negro,27.9769,-114.0611,14.13,43,17,4.3,MX,1674529325
563,tres arroyos,-38.3739,-60.2798,20.54,44,0,4.01,AR,1674529334
564,saint-augustin,51.226,-58.6502,-6.46,90,100,6.12,CA,1674529413
565,kenitra,34.261,-6.5802,2.42,61,0,2.18,MA,1674529330
